Marke; modelis; reg.data; arklio galios; Kaina; Sedines; Valst.nr
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
Volkswagen;passat;1999-01-02;200;2000.0;5;valst. Numeriai
